id,name_fi,name_en,street_address_fi,address_zip,municipality,provider_type,latitude,longitude,www_fi,phone
3,Päiväkoti Kannel,Daycare Kannel,Kannelpolku 5,00420,,SELF_PRODUCED,60.239895,24.879782,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-kannel,+358 9 310 41627
5,Päiväkoti Kaunokki,Daycare Kaunokki,Arentipolku 1 A,00410,,SELF_PRODUCED,60.244682,24.856346,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-kaunokki,+358 9 310 41584
10,Päiväkoti Lemmikki,Daycare Lemmikki,Rukkilanrinne 8,00410,,SELF_PRODUCED,60.25164,24.862831,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-lemmikki,+358 9 310 29334
11,Päiväkoti Metsätähti,Daycare Metsätähti,Kartanonmetsäntie 13,00410,,SELF_PRODUCED,60.250595,24.857079,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-metsatahti,+358 9 310 41584
12,Leikkipuisto Trumpetti,Playground Trumpetti,Trumpettikuja 5,00420,,SELF_PRODUCED,60.238144,24.866907,https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-trumpetti,+358 9 310 41632
13,Leikkipuisto Kannelmäki,Playground Kannelmäki,Kanneltie 1a,00420,,SELF_PRODUCED,60.241436,24.880224,https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-kannelmaki,+358 9 310 41613
15,Päiväkoti Lapinmäki,Daycare Lapinmäki,Kangaspellontie 6,00350,,SELF_PRODUCED,60.209335,24.882513,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-lapinmaki,+358 9 310 41502
16,Päiväkoti Tonttula,Daycare Tonttula,Pajuniityntie 6,00320,,SELF_PRODUCED,60.217228,24.904282,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-tonttula,+358 9 310 42057
18,Päiväkoti Lassi,Daycare Lassi,Vaakakuja 3,00440,,SELF_PRODUCED,60.229202,24.875181,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-lassi,+358 9 310 41544
19,Päiväkoti Niitty,Daycare Niitty,Laurinmäenpolku 4,00440,,SELF_PRODUCED,60.233646,24.880476,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-niitty,+358 9 310 29414
20,Päiväkoti Kanerva,Daycare Kanerva,Pietari Hannikaisen tie 1-3,00400,,SELF_PRODUCED,60.226044,24.896786,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-kanerva,+358 9 310 29678
21,Päiväkoti Karhi,Daycare Karhi,Äestäjäntie 17,00390,,SELF_PRODUCED,60.233433,24.841042,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-karhi,+358 9 310 29685
22,Päiväkoti Kolkka,Daycare Kolkka,Kolkkapojantie 10,00370,,SELF_PRODUCED,60.22669,24.856148,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-kolkka,+358 9 310 28702
23,Päiväkoti Pajamäki,Daycare Pajamäki,Poutamäentie 18,00360,,SELF_PRODUCED,60.218746,24.852678,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-pajamaki,+358 9 310 47270
24,Päiväkoti Taneli,Daycare Taneli,Konalantie 16,00370,,SELF_PRODUCED,60.226852,24.849709,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-taneli,+358 9 310 29782
25,Leikkipuisto Piika,Playground Piika,Arentikuja 5,00410,,SELF_PRODUCED,60.2442,24.856575,https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-piika,+358 9 310 41582
28,Päiväkoti Maunula,Daycare Maunula,Metsäpurontie 27,00630,,SELF_PRODUCED,60.228245,24.923443,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-maunula,+358 9 310 69816
29,Päiväkoti Korento,Daycare Korento,Suursuonlaita 6,00630,,SELF_PRODUCED,60.234074,24.933226,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-korento,+358 9 310 69836
30,Leikkipuisto Maunula,Playground Maunula,Kuusikkotie 2a,00630,,SELF_PRODUCED,60.23107,24.928646,https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-maunula,+358 9 310 69849
31,Päiväkoti Majava,Daycare Majava,Maapadontie 1,00640,,SELF_PRODUCED,60.231663,24.9503,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-majava,+358 9 310 69955
32,Päiväkoti Norppa,Daycare Norppa,Jahtivoudintie 3,00640,,SELF_PRODUCED,60.239006,24.961348,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-norppa,+358 9 310 33985
33,Päiväkoti Oulunkylä,Daycare Oulunkylä,Kivalterintie 25,00640,,SELF_PRODUCED,60.23043,24.95621,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-oulunkyla,+358 9 310 69930
34,Päiväkoti Perhonen,Daycare Perhonen,Jahtivoudintie 3,00640,,SELF_PRODUCED,60.238895,24.96112,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-perhonen,+358 9 310 69955
35,Päiväkoti Veräjämäki,Daycare Veräjämäki,Jokiniementie 3,00650,,SELF_PRODUCED,60.224262,24.97382,https://www.hel.fi/fi/kasvatus-ja-koulutus/paivakoti-verajamaki,+358 9 310 69910
36,Leikkipuisto Mäkitorppa,Playground Mäkitorppa,Mäkitorpantie 42,00640,,SELF_PRODUCED,60.22859,24.95954,https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuisto-makitorppa,+358 9 310 69965
38,Daghemmet Barnabo,Daycare Barnabo,Asteritie 7,00720,,SELF_PRODUCED,60.24691,24.998512,https://www.hel.fi/fi/kasvatus-ja-koulutus/daghemmet-barnabo,+358 9 310 44871
40,Daghemmet Blomängen,Daycare Blomängen,Kukkaniityntie 19,00950,,SELF_PRODUCED,60.21983,25.092093,https://www.hel.fi/fi/kasvatus-ja-koulutus/daghemmet-blomangen,+358 9 310 44872
41,Daghemmet Domus,Daycare Domus,Werner Wirénin tie 3,00570,,SELF_PRODUCED,60.184986,25.008902,https://www.hel.fi/fi/kasvatus-ja-koulutus/daghemmet-domus,+358 9 310 82609
42,Daghemmet Elka,Daycare Elka,Riihitie 9,00330,,SELF_PRODUCED,60.19616,24.882063,https://www.hel.fi/fi/kasvatus-ja-koulutus/daghemmet-elka,+358 9 310 44845
43,Daghemmet Fanny,Daycare Fanny,Maistraatinkatu 8,00240,,SELF_PRODUCED,60.199913,24.920958,https://www.hel.fi/fi/kasvatus-ja-koulutus/daghemmet-fanny,+358 9 310 44859
44,Cygnaeus förskola,Preschool Cygnaeus förskola,Eiranranta 1,00150,,SELF_PRODUCED,60.154655,24.93897,https://www.hel.fi/fi/kasvatus-ja-koulutus/cygnaeus-forskola,+358 9 310 80408
47,Daghemmet Kvarnberget,Daycare Kvarnberget,Isokaari 5 B,00200,,SELF_PRODUCED,60.15777,24.87001,https://www.hel.fi/fi/kasvatus-ja-koulutus/daghemmet-kvarnberget,+358 9 310 44861
48,Daghemmet Lasse-Maja,Daycare Lasse-Maja,Ohjaajantie 2,00400,,SELF_PRODUCED,60.22824,24.89473,https://www.hel.fi/fi/kasvatus-ja-koulutus/daghemmet-lasse-maja,+358 9 310 46826
49,Daghemmet Lekstugan,Daycare Lekstugan,Kurkiaispolku 3,00940,,SELF_PRODUCED,60.22948,25.072117,https://www.hel.fi/fi/kasvatus-ja-koulutus/daghemmet-lekstugan,+358 9 310 44875
